sheet,address,formula,functions,referenced_sheets
Staffing January,AH40,=SUM(C40:AG40),SUM,
Staffing January,B53,=SUM(B40)+SUM(B45:B52),SUM,
Staffing January,B54,=SUM(C54:AG54),SUM,
Staffing January,C54,=C19,,
Staffing January,B71,=SUM(C21:AG21),SUM,
Staffing January,C71,=SUM(B71*B58),SUM,
Staffing January,D71,=SUM(B71/G$18),SUM,
Staffing January,C80,=SUM(B80*B68),SUM,
Staffing February,A2,=A21,,
Staffing February,B2,=SUM(B21),SUM,
Staffing February,E2,"=SUMIF(C21:AG21, "">0"")/COUNTIF(C21:AG21, "">0"")",COUNTIF;SUMIF,
Staffing February,H2,=SUM(E2-B2),SUM,
Staffing February,U2,='Daily Census IP 2012'!G43,,Daily Census IP 2012
Staffing February,X3,=SUM(C33:AG33),SUM,
Staffing February,AA3,=B82,,
Staffing February,AD3,=SUM(X3*AA3),SUM,
Staffing February,AB6,=SUM(AD3:AD5),SUM,
Staffing February,Z8,=SUM(C37:AG37),SUM,
Staffing February,AD8,=B58,,
Staffing February,AF8,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Staffing February,Z9,=SUM(C36:AG36),SUM,
Staffing February,Z10,=SUM(Z11)*(AD10),SUM,
Staffing February,Z11,=B32,,
Staffing February,AF12,='Daily Census IP 2012'!A49,,Daily Census IP 2012
Staffing February,X13,=SUM(B40/B53),SUM,
Staffing February,Z13,=SUM(B45/B53),SUM,
Staffing February,AB13,=SUM(B44/B53),SUM,
Staffing February,AD13,=SUM(B46:B52)/SUM(B53),SUM,
Staffing February,Y14,=B44,,
Staffing February,Z14,=SUM(Y14*AF12),SUM,
Staffing February,AB14,='2012 YTD Summary'!O13,,2012 YTD Summary
Staffing February,AE14,='2012 YTD Summary'!O33,,2012 YTD Summary
Staffing February,A17,=G18,,
Staffing February,G17,=M18,,
Staffing February,G18,='Daily Census IP 2012'!AH8,,Daily Census IP 2012
Staffing February,M18,='Daily Census IP 2012'!AI7,,Daily Census IP 2012
Staffing February,O18,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Staffing February,Z18,=G18,,
Staffing February,AF18,=M18,,
Staffing February,B19,=U2,,
Staffing February,C19,='Daily Census IP 2012'!B7,,Daily Census IP 2012
Staffing February,D19,='Daily Census IP 2012'!C7,,Daily Census IP 2012
Staffing February,E19,='Daily Census IP 2012'!D7,,Daily Census IP 2012
Staffing February,F19,='Daily Census IP 2012'!E7,,Daily Census IP 2012
Staffing February,G19,='Daily Census IP 2012'!F7,,Daily Census IP 2012
